run_id,library,cells_realigned_filtered,cells_in_adata_rna,shared_barcodes,frac_of_adata_rna_recovered,frac_of_ours_retained
Control_1,leaf_control_rep1,6248,3740,3740,1.0,0.5985915492957746
Control_1A,leaf_control_rep1A,27367,3452,3452,1.0,0.12613731866846933
Control_2,leaf_control_rep2,1742,823,769,0.9343863912515188,0.44144661308840416
Control_3,leaf_control_rep3,2674,1683,1683,1.0,0.6293941660433807
Heat_1,leaf_Heat_rep1,27618,939,939,1.0,0.03399956550076037
Heat_2,leaf_Heat_rep2,20390,2381,2381,1.0,0.1167729279058362
Heat_3,leaf_Heat_rep3,3919,2193,2193,1.0,0.5595815258994642
Drought_1,leaf_drought_rep1,22418,1434,1434,1.0,0.06396645552680881
Drought_2,leaf_drought_rep2,37925,2855,2855,1.0,0.07528015820698747
Drought_3,leaf_drought_rep3,1813,1036,1036,1.0,0.5714285714285714
HD_1,leaf_HD_rep1,7153,5538,5538,1.0,0.7742206067384314
HD_2,leaf_HD_rep2,4283,3691,3655,0.990246545651585,0.8533738034088256
HD_3,leaf_HD_rep3,1306,702,702,1.0,0.5375191424196019
